transition_id,machine_id,canonical_name,from_state,to_state,trigger,guards,authoritative_proofs,degraded_posture_if_missing,closure_blocker_interactions,related_objects,source_refs
SM_APPROVAL_CHECKPOINT__REQUIRED__PENDING,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,required,pending,Approval request is formally issued for the current DecisionEpoch.,DecisionEpoch is live and current,ApprovalCheckpoint(state = pending),blocked / recovery_only,,DecisionEpoch,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path
SM_APPROVAL_CHECKPOINT__PENDING__APPROVED,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,pending,approved,Approver settles the current checkpoint positively.,Checkpoint still matches the live DecisionEpoch,ApprovalDecisionRecord(result = approved),blocked / recovery_only,,DecisionEpoch,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path
SM_APPROVAL_CHECKPOINT__PENDING__REJECTED,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,pending,rejected,Approver rejects the current consequence path.,Checkpoint still matches the live DecisionEpoch,ApprovalDecisionRecord(result = rejected),blocked / recovery_only,,DecisionEpoch,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path
SM_APPROVAL_CHECKPOINT__PENDING__SUPERSEDED,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,pending,superseded,Any material change invalidates the prior approval basis.,DecisionSupersessionRecord exists for the bound epoch,DecisionSupersessionRecord,blocked / recovery_only,,DecisionEpoch,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path
SM_MORE_INFO_REPLY_WINDOW__OPEN__REMINDER_DUE,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,open,reminder_due,The due-state crosses into reminder cadence under the same checkpoint revision.,Current checkpoint remains the sole active window on the lineage,MoreInfoReplyWindowCheckpoint; MoreInfoReminderSchedule,blocked / recovery_only,Open or reminder_due checkpoints block closure,MoreInfoCycle; MoreInfoReminderSchedule,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_MORE_INFO_REPLY_WINDOW__REMINDER_DUE__LATE_REVIEW,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,reminder_due,late_review,The formal reply window closes but late-review grace remains open.,Current checkpoint revision is still live,MoreInfoReplyWindowCheckpoint(replyWindowState = late_review),blocked / recovery_only,late_review remains a closure blocker,MoreInfoCycle,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_MORE_INFO_REPLY_WINDOW__OPEN__SETTLED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,open,settled,Accepted in-window reply is assimilated and the cycle settles.,MoreInfoResponseDisposition = accepted_in_window; Evidence assimilation and safety settlement are complete,MoreInfoResponseDisposition; EvidenceAssimilationRecord; SafetyDecisionRecord,blocked / recovery_only,,EvidenceAssimilationRecord; MoreInfoResponseDisposition,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_MORE_INFO_REPLY_WINDOW__LATE_REVIEW__SETTLED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,late_review,settled,Accepted late review is explicitly assimilated and settled.,MoreInfoResponseDisposition = accepted_late_review; Request closure has not yet settled,MoreInfoResponseDisposition; EvidenceAssimilationRecord; SafetyDecisionRecord,blocked / recovery_only,,EvidenceAssimilationRecord,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_MORE_INFO_REPLY_WINDOW__LATE_REVIEW__EXPIRED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,late_review,expired,Late-review grace elapses without accepted reply assimilation.,Checkpoint remains current and unassimilated,MoreInfoReplyWindowCheckpoint(replyWindowState = expired),blocked / recovery_only,,MoreInfoCycle,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_MORE_INFO_REPLY_WINDOW__OPEN__SUPERSEDED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,open,superseded,A replacement cycle explicitly supersedes the prior one.,A newer MoreInfoCycle is current on the lineage,MoreInfoReplyWindowCheckpoint(replyWindowState = superseded); GrantRevocationRecord,blocked / recovery_only,,MoreInfoCycle; AccessGrant,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_MORE_INFO_REPLY_WINDOW__REMINDER_DUE__SUPERSEDED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,reminder_due,superseded,The outstanding loop is replaced by a newer cycle before the patient responds.,Replacement cycle is explicitly governed,MoreInfoReplyWindowCheckpoint(replyWindowState = superseded); GrantRevocationRecord,blocked / recovery_only,,MoreInfoCycle; AccessGrant,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_CALLBACK_CASE_STATE__CREATED__QUEUED,SM_CALLBACK_CASE_STATE,CallbackCase.state,created,queued,Callback case enters the governed callback queue.,LineageCaseLink(caseFamily = callback) exists,CallbackCase; LineageCaseLink,blocked / recovery_only,,CallbackIntentLease,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__QUEUED__SCHEDULED,SM_CALLBACK_CASE_STATE,CallbackCase.state,queued,scheduled,CallbackIntentLease schedules the callback promise window.,Current RequestLifecycleLease and CallbackIntentLease fencing still match,CallbackIntentLease; CallbackExpectationEnvelope,blocked / recovery_only,,CallbackIntentLease; CallbackExpectationEnvelope,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__SCHEDULED__READY_FOR_ATTEMPT,SM_CALLBACK_CASE_STATE,CallbackCase.state,scheduled,ready_for_attempt,The current callback window opens and the case is armed for attempt.,Expectation window is current; Route and contact posture remain valid,CallbackIntentLease(leaseMode = ready_for_attempt); CallbackExpectationEnvelope,blocked / recovery_only,,CallbackIntentLease; RouteIntentBinding,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__READY_FOR_ATTEMPT__ATTEMPT_IN_PROGRESS,SM_CALLBACK_CASE_STATE,CallbackCase.state,ready_for_attempt,attempt_in_progress,A callback attempt is initiated.,Exact attempt fence has not already been used,CallbackAttemptRecord(settlementState = initiated); CommandActionRecord,blocked / recovery_only,,CallbackAttemptRecord; CommandActionRecord,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__ATTEMPT_IN_PROGRESS__AWAITING_OUTCOME_EVIDENCE,SM_CALLBACK_CASE_STATE,CallbackCase.state,attempt_in_progress,awaiting_outcome_evidence,The provider or staff attempt has started but outcome evidence is not yet settled.,Attempt fence is still current,CallbackAttemptRecord(settlementState = outcome_pending),blocked / recovery_only,,CallbackAttemptRecord,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__AWAITING_OUTCOME_EVIDENCE__ANSWERED,SM_CALLBACK_CASE_STATE,CallbackCase.state,awaiting_outcome_evidence,answered,Answered outcome evidence lands on the current attempt fence.,Outcome bundle is durably stored,CallbackOutcomeEvidenceBundle(outcome = answered),blocked / recovery_only,,CallbackOutcomeEvidenceBundle,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__AWAITING_OUTCOME_EVIDENCE__NO_ANSWER,SM_CALLBACK_CASE_STATE,CallbackCase.state,awaiting_outcome_evidence,no_answer,No-answer evidence settles on the current attempt fence.,Outcome bundle is durably stored,CallbackOutcomeEvidenceBundle(outcome = no_answer),blocked / recovery_only,,CallbackOutcomeEvidenceBundle,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__AWAITING_OUTCOME_EVIDENCE__VOICEMAIL_LEFT,SM_CALLBACK_CASE_STATE,CallbackCase.state,awaiting_outcome_evidence,voicemail_left,Voicemail evidence settles on the current attempt fence.,Outcome bundle is durably stored,CallbackOutcomeEvidenceBundle(outcome = voicemail_left),blocked / recovery_only,,CallbackOutcomeEvidenceBundle,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__AWAITING_OUTCOME_EVIDENCE__CONTACT_ROUTE_REPAIR_PENDING,SM_CALLBACK_CASE_STATE,CallbackCase.state,awaiting_outcome_evidence,contact_route_repair_pending,Delivery failure or invalid route prevents callback progress.,Active callback dependency is unresolved,CallbackOutcomeEvidenceBundle(outcome = route_invalid | provider_failure); ReachabilityDependency,route_repair_required,Reachability repair blocks closure and callback completion,ReachabilityDependency; CallbackExpectationEnvelope,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__NO_ANSWER__AWAITING_RETRY,SM_CALLBACK_CASE_STATE,CallbackCase.state,no_answer,awaiting_retry,Resolution gate chooses retry rather than closure.,Retry policy still allows another attempt,CallbackResolutionGate(decision = retry),blocked / recovery_only,,CallbackResolutionGate,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__VOICEMAIL_LEFT__ESCALATION_REVIEW,SM_CALLBACK_CASE_STATE,CallbackCase.state,voicemail_left,escalation_review,The current voicemail outcome requires clinician or ops escalation rather than quiet completion.,Pathway policy requires escalation,CallbackResolutionGate(decision = escalate),blocked / recovery_only,,CallbackResolutionGate,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__ANSWERED__COMPLETED,SM_CALLBACK_CASE_STATE,CallbackCase.state,answered,completed,Resolution gate marks the callback complete on the evidence-bound attempt.,No safety preemption or reachability blocker remains unresolved,CallbackResolutionGate(decision = complete),blocked / recovery_only,,CallbackResolutionGate; SafetyPreemptionRecord,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__COMPLETED__CLOSED,SM_CALLBACK_CASE_STATE,CallbackCase.state,completed,closed,Callback case closes after completion is durably settled.,Completion decision is authoritative,CallbackResolutionGate(decision = complete); CallbackCaseClosureRecord,blocked / recovery_only,,CallbackResolutionGate,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__CLOSED__REOPENED,SM_CALLBACK_CASE_STATE,CallbackCase.state,closed,reopened,A new callback obligation or supervised reopen explicitly reopens the case.,Reopen policy and lineage scope permit a fresh callback cycle,CallbackReopenRecord,blocked / recovery_only,,RequestLineage,callback-and-clinician-messaging-loop.md#Callback domain
SM_CALLBACK_CASE_STATE__REOPENED__QUEUED,SM_CALLBACK_CASE_STATE,CallbackCase.state,reopened,queued,Reopened callback work returns to the queue.,New or refreshed CallbackIntentLease exists,CallbackIntentLease,blocked / recovery_only,,CallbackIntentLease,callback-and-clinician-messaging-loop.md#Callback domain
SM_CLINICIAN_MESSAGE_THREAD__DRAFTED__APPROVED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,drafted,approved,Approval-required content is approved for dispatch on the current thread version.,Current thread version and policy tuple match the draft,ApprovalDecisionRecord; MessageDispatchEnvelope(transportState = approved),blocked / recovery_only,,MessageDispatchEnvelope; ReviewActionLease,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__APPROVED__SENT,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,approved,sent,Dispatch envelope leaves the draft phase and dispatch begins.,Dispatch fence and thread version are current,MessageDispatchEnvelope(transportState = dispatching | provider_accepted),blocked / recovery_only,,MessageDispatchEnvelope; CommandActionRecord,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__SENT__DELIVERED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,sent,delivered,Current delivery evidence bundle proves delivered posture for the thread.,Delivery evidence bundle is accepted through AdapterReceiptCheckpoint,MessageDeliveryEvidenceBundle(deliveryState = delivered),blocked / recovery_only,,MessageDispatchEnvelope; MessageDeliveryEvidenceBundle,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__DELIVERED__PATIENT_REPLIED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,delivered,patient_replied,Patient reply lands on the current thread and remains under the same lineage.,Reply scope and thread version are current,PatientReplyRecord; ThreadExpectationEnvelope(patientVisibleState = awaiting_review),blocked / recovery_only,,ThreadExpectationEnvelope,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__PATIENT_REPLIED__AWAITING_CLINICIAN_REVIEW,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,patient_replied,awaiting_clinician_review,Reply is classified and routed back for clinician review.,Material or contact-safety reply classification is settled,EvidenceAssimilationRecord; ThreadResolutionGate(decision = review_pending),blocked / recovery_only,,ThreadResolutionGate; SafetyPreemptionRecord,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__AWAITING_CLINICIAN_REVIEW__CLOSED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,awaiting_clinician_review,closed,Resolution gate closes the current message thread.,"No reply review, delivery dispute, reachability repair, or safety preemption remains open",ThreadResolutionGate(decision = close),blocked / recovery_only,,ThreadResolutionGate,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__SENT__DELIVERY_FAILED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,sent,delivery_failed,Delivery evidence bundle shows failure or expiry.,Current dispatch fence remains current,MessageDeliveryEvidenceBundle(deliveryState = failed | expired),blocked / recovery_only,,MessageDeliveryEvidenceBundle,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__DELIVERY_FAILED__CONTACT_ROUTE_REPAIR_PENDING,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,delivery_failed,contact_route_repair_pending,Repair journey opens for the failed delivery dependency.,Reachability dependency is active,ThreadResolutionGate(decision = repair_route); ReachabilityDependency,delivery_repair_required,,ThreadResolutionGate; ReachabilityDependency,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__CONTACT_ROUTE_REPAIR_PENDING__APPROVED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,contact_route_repair_pending,approved,Controlled resend or channel change is authorized on the current thread.,Current repair route and thread version still match,ThreadResolutionGate(decision = repair_route); MessageDispatchEnvelope(repairIntent = controlled_resend | channel_change),blocked / recovery_only,,ThreadResolutionGate; MessageDispatchEnvelope,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__CLOSED__REOPENED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,closed,reopened,Resolution gate reopens the thread for further review or callback escalation.,Current thread context still matches the investigative question,ThreadResolutionGate(decision = reopen | escalate_to_callback),blocked / recovery_only,,ThreadResolutionGate; CallbackCase,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_CLINICIAN_MESSAGE_THREAD__REOPENED__AWAITING_CLINICIAN_REVIEW,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,reopened,awaiting_clinician_review,Reopened thread returns to active clinician review posture.,Review context and publication tuple are current,ThreadResolutionGate(decision = reopen); ThreadExpectationEnvelope(patientVisibleState = awaiting_review),blocked / recovery_only,,ThreadResolutionGate,callback-and-clinician-messaging-loop.md#Clinician message domain
SM_BOOKING_CASE_STATUS__HANDOFF_RECEIVED__CAPABILITY_CHECKED,SM_BOOKING_CASE_STATUS,BookingCase.status,handoff_received,capability_checked,Booking capability resolution runs on the current DecisionEpoch and route tuple.,LineageCaseLink(caseFamily = booking) is current; DecisionEpoch is unsuperseded,BookingCapabilityResolution; LineageCaseLink,blocked / recovery_only,,DecisionEpoch; BookingCapabilityResolution,"phase-4-the-booking-engine.md#4A Booking contract, case model, and state machine"
SM_BOOKING_CASE_STATUS__CAPABILITY_CHECKED__SEARCHING_LOCAL,SM_BOOKING_CASE_STATUS,BookingCase.status,capability_checked,searching_local,Current capability state allows local search for the active audience.,capabilityState = live_self_service | live_staff_assist; capabilityTupleHash still matches route and publication posture,BookingCapabilityResolution; BookingCapabilityProjection,blocked / recovery_only,,BookingCapabilityResolution; BookingCapabilityProjection,"phase-4-the-booking-engine.md#4A Booking contract, case model, and state machine"
SM_BOOKING_CASE_STATUS__SEARCHING_LOCAL__OFFERS_READY,SM_BOOKING_CASE_STATUS,BookingCase.status,searching_local,offers_ready,Slot snapshot and offer session are current and patient-visible.,Snapshot is current; Offer session truth is current,SlotSetSnapshot; OfferSession,blocked / recovery_only,,SlotSetSnapshot; OfferSession,"phase-4-the-booking-engine.md#4C Slot search, normalisation, and availability snapshots; phase-4-the-booking-engine.md#4D Slot scoring, offer orchestration, and selection experience"
SM_BOOKING_CASE_STATUS__OFFERS_READY__SELECTING,SM_BOOKING_CASE_STATUS,BookingCase.status,offers_ready,selecting,A slot is actively selected on the current snapshot and offer session.,Selection token and snapshot version still match,OfferSession(selectionState = selected); ReservationTruthProjection,blocked / recovery_only,,OfferSession; ReservationTruthProjection,"phase-4-the-booking-engine.md#4D Slot scoring, offer orchestration, and selection experience"
SM_BOOKING_CASE_STATUS__SELECTING__REVALIDATING,SM_BOOKING_CASE_STATUS,BookingCase.status,selecting,revalidating,Chosen slot is rechecked against current supplier state and original policy.,"Selected slot, sourceVersion, and SearchPolicy still match",BookingTransaction(revalidationState = current),blocked / recovery_only,,BookingTransaction; SearchPolicy,"phase-4-the-booking-engine.md#4E Commit path, revalidation, booking record, and compensation"
SM_BOOKING_CASE_STATUS__REVALIDATING__COMMIT_PENDING,SM_BOOKING_CASE_STATUS,BookingCase.status,revalidating,commit_pending,Commit begins on the fenced BookingTransaction.,Current BookingCase request ownership fence still matches; Reservation version still matches,BookingTransaction(commitState = pending); CommandActionRecord,blocked / recovery_only,,BookingTransaction; RequestLifecycleLease,"phase-4-the-booking-engine.md#4E Commit path, revalidation, booking record, and compensation"
SM_BOOKING_CASE_STATUS__COMMIT_PENDING__BOOKED,SM_BOOKING_CASE_STATUS,BookingCase.status,commit_pending,booked,Authoritative booking truth is settled strongly enough for local case booked posture.,Durable provider reference or same-commit read-after-write proof exists,BookingConfirmationTruthProjection(confirmationTruthState = confirmed),blocked / recovery_only,,BookingConfirmationTruthProjection; ExternalConfirmationGate,"phase-4-the-booking-engine.md#4E Commit path, revalidation, booking record, and compensation"
SM_BOOKING_CASE_STATUS__COMMIT_PENDING__CONFIRMATION_PENDING,SM_BOOKING_CASE_STATUS,BookingCase.status,commit_pending,confirmation_pending,Case-local commit needs explicit confirmation before calm booking truth.,Current booking attempt is awaiting authoritative confirmation,BookingConfirmationTruthProjection(confirmationTruthState = confirmation_pending); ExternalConfirmationGate,blocked / recovery_only,Confirmation ambiguity blocks calmness and closure,BookingConfirmationTruthProjection; ExternalConfirmationGate,"phase-4-the-booking-engine.md#4A Booking contract, case model, and state machine"
SM_BOOKING_CASE_STATUS__COMMIT_PENDING__SUPPLIER_RECONCILIATION_PENDING,SM_BOOKING_CASE_STATUS,BookingCase.status,commit_pending,supplier_reconciliation_pending,Supplier truth is ambiguous or disputed and needs explicit booking review.,ExternalConfirmationGate exists for the current transaction chain,BookingConfirmationTruthProjection(confirmationTruthState = reconciliation_required); ExternalConfirmationGate(state = pending | disputed),blocked / recovery_only,Supplier reconciliation remains case-local and closure-blocking,BookingConfirmationTruthProjection; ExternalConfirmationGate,"phase-4-the-booking-engine.md#4A Booking contract, case model, and state machine; forensic-audit-findings.md#Finding 73 - Phase 4 used the generic term reconciliation_required for booking-case ambiguity"
SM_BOOKING_CASE_STATUS__COMMIT_PENDING__WAITLISTED,SM_BOOKING_CASE_STATUS,BookingCase.status,commit_pending,waitlisted,No immediate safe booking exists but local waitlist continuation is still safe.,WaitlistDeadlineEvaluation.offerabilityState = waitlist_safe | at_risk; WaitlistFallbackObligation.requiredFallbackRoute = stay_local_waitlist,WaitlistEntry; WaitlistDeadlineEvaluation; WaitlistFallbackObligation,blocked / recovery_only,,WaitlistEntry; WaitlistFallbackObligation,phase-4-the-booking-engine.md#4G Smart Waitlist and local auto-fill
SM_BOOKING_CASE_STATUS__WAITLISTED__CALLBACK_FALLBACK,SM_BOOKING_CASE_STATUS,BookingCase.status,waitlisted,callback_fallback,Waitlist fallback requires callback rather than continued local waiting.,requiredFallbackRoute = callback; Current CallbackCase and CallbackExpectationEnvelope exist for the same fallback fence,WaitlistFallbackObligation; CallbackCase; CallbackExpectationEnvelope,blocked / recovery_only,Fallback obligation remains open until transfer settles,WaitlistFallbackObligation; CallbackCase,phase-4-the-booking-engine.md#4G Smart Waitlist and local auto-fill
SM_BOOKING_CASE_STATUS__WAITLISTED__FALLBACK_TO_HUB,SM_BOOKING_CASE_STATUS,BookingCase.status,waitlisted,fallback_to_hub,Waitlist fallback requires hub transfer.,requiredFallbackRoute = hub; Linked HubCoordinationCase exists on the same lineage,WaitlistFallbackObligation; HubCoordinationCase,blocked / recovery_only,Fallback obligation remains open until hub transfer settles,WaitlistFallbackObligation; HubCoordinationCase,phase-4-the-booking-engine.md#4G Smart Waitlist and local auto-fill
SM_BOOKING_CASE_STATUS__COMMIT_PENDING__BOOKING_FAILED,SM_BOOKING_CASE_STATUS,BookingCase.status,commit_pending,booking_failed,Local booking attempt ends without a legal continuation path.,"No active waitlist, callback, or hub continuation remains",BookingFailureSettlement,blocked / recovery_only,,BookingException,"phase-4-the-booking-engine.md#4A Booking contract, case model, and state machine"
SM_BOOKING_CASE_STATUS__BOOKED__MANAGED,SM_BOOKING_CASE_STATUS,BookingCase.status,booked,managed,"Managed cancel, reschedule, reminder, and detail-update lifecycle is now the active booking posture.",AppointmentRecord exists and latest confirmation truth is current,AppointmentRecord; BookingConfirmationTruthProjection,blocked / recovery_only,,AppointmentRecord; BookingConfirmationTruthProjection,"phase-4-the-booking-engine.md#4F Appointment management: cancel, reschedule, reminders, and detail updates"
SM_BOOKING_CASE_STATUS__MANAGED__CLOSED,SM_BOOKING_CASE_STATUS,BookingCase.status,managed,closed,Managed booking branch has no remaining operational debt on the lineage.,"No active waitlist fallback, confirmation gate, or manage blocker remains",BookingClosureSettlement; RequestClosureRecord or branch-local closure truth,blocked / recovery_only,,RequestClosureRecord; ExternalConfirmationGate,"phase-4-the-booking-engine.md#4F Appointment management: cancel, reschedule, reminders, and detail updates"
SM_WAITLIST_FALLBACK_TRANSFER__MONITORING__ARMED,SM_WAITLIST_FALLBACK_TRANSFER,WaitlistFallbackObligation.transferState,monitoring,armed,Deadline evaluation says local waitlist is no longer comfortably safe.,offerabilityState = fallback_required | overdue,WaitlistDeadlineEvaluation; WaitlistFallbackObligation,blocked / recovery_only,Fallback obligation remains open until callback or hub transfer settles,WaitlistDeadlineEvaluation,phase-4-the-booking-engine.md#4G Smart Waitlist and local auto-fill
SM_WAITLIST_FALLBACK_TRANSFER__ARMED__TRANSFER_PENDING,SM_WAITLIST_FALLBACK_TRANSFER,WaitlistFallbackObligation.transferState,armed,transfer_pending,Callback or hub transfer has been chosen but linkage is not yet durable.,requiredFallbackRoute is callback or hub,WaitlistFallbackObligation(transferState = transfer_pending),blocked / recovery_only,,CallbackCase; HubCoordinationCase,phase-4-the-booking-engine.md#4G Smart Waitlist and local auto-fill
SM_WAITLIST_FALLBACK_TRANSFER__TRANSFER_PENDING__TRANSFERRED,SM_WAITLIST_FALLBACK_TRANSFER,WaitlistFallbackObligation.transferState,transfer_pending,transferred,Callback or hub branch is durably linked to the same booking lineage.,CallbackCase or HubCoordinationCase exists on the same lineage fence,CallbackCase | HubCoordinationCase; LineageCaseLink,blocked / recovery_only,,CallbackCase; HubCoordinationCase; LineageCaseLink,"phase-4-the-booking-engine.md#4G Smart Waitlist and local auto-fill; phase-5-the-network-horizon.md#5G No-slot handling, urgent bounce-back, callback fallback, and reopen mechanics"
SM_WAITLIST_FALLBACK_TRANSFER__TRANSFERRED__SATISFIED,SM_WAITLIST_FALLBACK_TRANSFER,WaitlistFallbackObligation.transferState,transferred,satisfied,Transferred branch becomes the authoritative continuation path.,Current waitlist continuation truth no longer claims safe local waiting,WaitlistContinuationTruthProjection(patientVisibleState = callback_expected | hub_review_pending),blocked / recovery_only,,WaitlistContinuationTruthProjection,phase-4-the-booking-engine.md#4G Smart Waitlist and local auto-fill
SM_WAITLIST_FALLBACK_TRANSFER__MONITORING__CANCELLED,SM_WAITLIST_FALLBACK_TRANSFER,WaitlistFallbackObligation.transferState,monitoring,cancelled,Local booking succeeds before fallback obligation activates.,Current BookingConfirmationTruthProjection is confirmed,BookingConfirmationTruthProjection(confirmationTruthState = confirmed),blocked / recovery_only,,BookingConfirmationTruthProjection,phase-4-the-booking-engine.md#4G Smart Waitlist and local auto-fill
SM_HUB_COORDINATION_CASE_STATUS__HUB_REQUESTED__INTAKE_VALIDATED,SM_HUB_COORDINATION_CASE_STATUS,HubCoordinationCase.status,hub_requested,intake_validated,Network request validates onto one explicit hub lineage branch.,Hub child LineageCaseLink is current for the same RequestLineage,NetworkBookingRequest; LineageCaseLink,blocked / recovery_only,,NetworkBookingRequest; LineageCaseLink,"phase-5-the-network-horizon.md#5A Network coordination contract, case model, and state machine"
SM_HUB_COORDINATION_CASE_STATUS__INTAKE_VALIDATED__QUEUED,SM_HUB_COORDINATION_CASE_STATUS,HubCoordinationCase.status,intake_validated,queued,Hub case enters the coordination queue.,Policy evaluation exists,NetworkCoordinationPolicyEvaluation,blocked / recovery_only,,NetworkCoordinationPolicyEvaluation,"phase-5-the-network-horizon.md#5A Network coordination contract, case model, and state machine"
SM_HUB_COORDINATION_CASE_STATUS__QUEUED__CLAIMED,SM_HUB_COORDINATION_CASE_STATUS,HubCoordinationCase.status,queued,claimed,Ownership lease is acquired for live hub coordination.,ownershipFenceToken and ownershipEpoch are current,HubOwnershipTransition(transitionState = accepted); RequestLifecycleLease,blocked / recovery_only,Active ownership transitions and open-case blockers block closure,HubOwnershipTransition; RequestLifecycleLease,"phase-5-the-network-horizon.md#5A Network coordination contract, case model, and state machine"
SM_HUB_COORDINATION_CASE_STATUS__CLAIMED__CANDIDATE_SEARCHING,SM_HUB_COORDINATION_CASE_STATUS,HubCoordinationCase.status,claimed,candidate_searching,Network capacity snapshot generation begins.,Policy tuple remains current,NetworkCandidateSnapshot,blocked / recovery_only,,NetworkCandidateSnapshot,phase-5-the-network-horizon.md#5C Enhanced Access policy engine and network capacity ingestion
SM_HUB_COORDINATION_CASE_STATUS__CANDIDATE_SEARCHING__CANDIDATES_READY,SM_HUB_COORDINATION_CASE_STATUS,HubCoordinationCase.status,candidate_searching,candidates_ready,Candidate snapshot and decision plan are computed.,Snapshot is trustworthy enough for diagnostic or offerable use,NetworkCandidateSnapshot; CrossSiteDecisionPlan,blocked / recovery_only,,NetworkCandidateSnapshot; CrossSiteDecisionPlan,"phase-5-the-network-horizon.md#5D Coordination queue, candidate ranking, and SLA engine"
SM_HUB_COORDINATION_CASE_STATUS__CANDIDATES_READY__COORDINATOR_SELECTING,SM_HUB_COORDINATION_CASE_STATUS,HubCoordinationCase.status,candidates_ready,coordinator_selecting,Coordinator begins selection on the current ranked frontier.,Decision plan is current and policy tuple still matches,CrossSiteDecisionPlan,blocked / recovery_only,,CrossSiteDecisionPlan,"phase-5-the-network-horizon.md#5E Alternative offers, patient choice, and network-facing UX"
