transition_id,machine_id,canonical_name,machine_family,phase_tags,state_axis_type,from_state,to_state,trigger,coordinator_owned,guards,authoritative_proofs,related_objects,degraded_posture,closure_blocker_interactions,source_refs,notes
SM_TRIAGE_TASK_STATUS__QUEUED__CLAIMED,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,queued,claimed,Reviewer acquires the current triage lease.,no,RequestLifecycleLease is current; Workspace trust and publication posture remain writable,RequestLifecycleLease; ReviewActionLease,RequestLifecycleLease; AudienceSurfaceRuntimeBinding,,,phase-3-the-human-checkpoint.md#3A Triage contract and workspace state model; forensic-audit-findings.md#Finding 15 - Task claim and lease semantics were absent,
SM_TRIAGE_TASK_STATUS__CLAIMED__IN_REVIEW,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,claimed,in_review,The reviewer starts active review on the current review version.,no,reviewVersion and route intent still match,ReviewSession; ReviewActionLease,ReviewSession; DecisionEpoch,,,phase-3-the-human-checkpoint.md#3A Triage contract and workspace state model,
SM_TRIAGE_TASK_STATUS__IN_REVIEW__AWAITING_PATIENT_INFO,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,in_review,awaiting_patient_info,Structured more-info request is issued.,no,Exactly one current MoreInfoReplyWindowCheckpoint is live,MoreInfoCycle; MoreInfoReplyWindowCheckpoint,MoreInfoReplyWindowCheckpoint; RequestLifecycleLease,,Open more-info window blocks request closure,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_TRIAGE_TASK_STATUS__AWAITING_PATIENT_INFO__REVIEW_RESUMED,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,awaiting_patient_info,review_resumed,An accepted reply is assimilated and re-safety clears the case back to triage review.,no,MoreInfoResponseDisposition is accepted; Re-safety no longer requires urgent diversion,EvidenceAssimilationRecord; SafetyDecisionRecord; triage.task.resumed event,MoreInfoReplyWindowCheckpoint; SafetyDecisionRecord,,,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_TRIAGE_TASK_STATUS__REVIEW_RESUMED__QUEUED,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,review_resumed,queued,Queue engine re-admits the resumed task under deterministic ranking.,no,Updated ranking explanation is persisted,QueueRankingRecord; triage.task.resumed event,RequestLifecycleLease,,,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_TRIAGE_TASK_STATUS__IN_REVIEW__ENDPOINT_SELECTED,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,in_review,endpoint_selected,Endpoint decision is chosen on the current live DecisionEpoch.,no,Current DecisionEpoch is live and unsuperseded,EndpointDecisionSettlement; DecisionEpoch(epochState = live),DecisionEpoch; EndpointDecisionSettlement,,,phase-3-the-human-checkpoint.md#3E Endpoint decision engine and resolution model,
SM_TRIAGE_TASK_STATUS__ENDPOINT_SELECTED__RESOLVED_WITHOUT_APPOINTMENT,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,endpoint_selected,resolved_without_appointment,Direct outcome path settles on the same DecisionEpoch.,no,EndpointDecisionSettlement is settled; Any required approval checkpoint is approved,EndpointDecisionSettlement; ApprovalCheckpoint,ApprovalCheckpoint; CommandSettlementRecord,,,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics",
SM_TRIAGE_TASK_STATUS__ENDPOINT_SELECTED__HANDOFF_PENDING,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,endpoint_selected,handoff_pending,Booking or pharmacy handoff seed is durably created from the current DecisionEpoch.,no,LineageCaseLink(caseFamily) is proposed on the current lineage; Downstream seed references the unsuperseded DecisionEpoch,BookingIntent | PharmacyIntent; LineageCaseLink,DecisionEpoch; LineageCaseLink,,,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics",
SM_TRIAGE_TASK_STATUS__ENDPOINT_SELECTED__ESCALATED,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,endpoint_selected,escalated,Urgent escalation path opens for high-risk review.,no,Urgent escalation or SafetyDecisionRecord requires it,DutyEscalationRecord; SafetyDecisionRecord,DecisionEpoch; Request.safetyState,,,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path,
SM_TRIAGE_TASK_STATUS__ESCALATED__RESOLVED_WITHOUT_APPOINTMENT,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,escalated,resolved_without_appointment,Urgent path settles a direct outcome.,no,DecisionEpoch is still current,DutyEscalationRecord; EndpointDecisionSettlement,DecisionEpoch,,,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path,
SM_TRIAGE_TASK_STATUS__ESCALATED__HANDOFF_PENDING,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,escalated,handoff_pending,Urgent path requires downstream ownership.,no,Downstream intent still matches the live DecisionEpoch,BookingIntent | PharmacyIntent; LineageCaseLink,DecisionEpoch; LineageCaseLink,,,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path,
SM_TRIAGE_TASK_STATUS__ESCALATED__REOPENED,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,escalated,reopened,Urgent path returns the case for further practice review.,no,TriageReopenRecord is current,TriageReopenRecord,DecisionEpoch,,,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path,
SM_TRIAGE_TASK_STATUS__RESOLVED_WITHOUT_APPOINTMENT__CLOSED,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,resolved_without_appointment,closed,All direct-resolution artifacts are durably queued or created.,no,TaskCompletionSettlementEnvelope is settled,TaskCompletionSettlementEnvelope; CommandSettlementRecord(authoritativeOutcomeState = settled),CommandSettlementRecord,,,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics",
SM_TRIAGE_TASK_STATUS__HANDOFF_PENDING__CLOSED,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,handoff_pending,closed,Downstream ownership acknowledges the handoff and the triage branch has no further open work.,no,LineageCaseLink is acknowledged; No triage-side blocker remains,LineageCaseLink; TaskCompletionSettlementEnvelope,LineageCaseLink,,,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics",
SM_TRIAGE_TASK_STATUS__REOPENED__QUEUED,SM_TRIAGE_TASK_STATUS,TriageTask.status,triage_human_checkpoint,phase_3_human_checkpoint,case_local,reopened,queued,Reopened work re-enters the deterministic queue with raised urgency carry.,no,Fresh triage-side lease is acquired,TriageReopenRecord; QueueRankingRecord,RequestLifecycleLease,,,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics",
SM_DECISION_EPOCH__LIVE__BLOCKED,SM_DECISION_EPOCH,DecisionEpoch.epochState,triage_human_checkpoint,phase_3_human_checkpoint,gate,live,blocked,The epoch remains current but actionability is temporarily blocked by approval or trust posture.,no,Current HumanApprovalGateAssessment or AssistiveCapabilityTrustEnvelope blocks consequence-bearing submit,EndpointDecisionSettlement(result = blocked_approval_gate),ApprovalCheckpoint; AssistiveCapabilityTrustEnvelope,,,phase-3-the-human-checkpoint.md#3E Endpoint decision engine and resolution model,
SM_DECISION_EPOCH__LIVE__SUPERSEDED,SM_DECISION_EPOCH,DecisionEpoch.epochState,triage_human_checkpoint,phase_3_human_checkpoint,gate,live,superseded,"Evidence, safety, duplicate, policy, trust, publication, or ownership drift requires a replacement epoch.",no,DecisionSupersessionRecord reasonClass is authoritative,DecisionSupersessionRecord,DecisionSupersessionRecord; ApprovalCheckpoint,,,phase-3-the-human-checkpoint.md#3E Endpoint decision engine and resolution model,
SM_APPROVAL_CHECKPOINT__NOT_REQUIRED__REQUIRED,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,triage_human_checkpoint,phase_3_human_checkpoint,gate,not_required,required,The current consequence requires explicit human approval.,no,Policy bundle marks the decision as irreversible or approval-burdened,ApprovalRequirementAssessment,DecisionEpoch,,,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path,
SM_APPROVAL_CHECKPOINT__REQUIRED__PENDING,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,triage_human_checkpoint,phase_3_human_checkpoint,gate,required,pending,Approval request is formally issued for the current DecisionEpoch.,no,DecisionEpoch is live and current,ApprovalCheckpoint(state = pending),DecisionEpoch,,,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path,
SM_APPROVAL_CHECKPOINT__PENDING__APPROVED,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,triage_human_checkpoint,phase_3_human_checkpoint,gate,pending,approved,Approver settles the current checkpoint positively.,no,Checkpoint still matches the live DecisionEpoch,ApprovalDecisionRecord(result = approved),DecisionEpoch,,,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path,
SM_APPROVAL_CHECKPOINT__PENDING__REJECTED,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,triage_human_checkpoint,phase_3_human_checkpoint,gate,pending,rejected,Approver rejects the current consequence path.,no,Checkpoint still matches the live DecisionEpoch,ApprovalDecisionRecord(result = rejected),DecisionEpoch,,,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path,
SM_APPROVAL_CHECKPOINT__PENDING__SUPERSEDED,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,triage_human_checkpoint,phase_3_human_checkpoint,gate,pending,superseded,Any material change invalidates the prior approval basis.,no,DecisionSupersessionRecord exists for the bound epoch,DecisionSupersessionRecord,DecisionEpoch,,,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path,
SM_MORE_INFO_REPLY_WINDOW__OPEN__REMINDER_DUE,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,triage_human_checkpoint,phase_3_human_checkpoint,case_local,open,reminder_due,The due-state crosses into reminder cadence under the same checkpoint revision.,no,Current checkpoint remains the sole active window on the lineage,MoreInfoReplyWindowCheckpoint; MoreInfoReminderSchedule,MoreInfoCycle; MoreInfoReminderSchedule,,Open or reminder_due checkpoints block closure,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_MORE_INFO_REPLY_WINDOW__REMINDER_DUE__LATE_REVIEW,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,triage_human_checkpoint,phase_3_human_checkpoint,case_local,reminder_due,late_review,The formal reply window closes but late-review grace remains open.,no,Current checkpoint revision is still live,MoreInfoReplyWindowCheckpoint(replyWindowState = late_review),MoreInfoCycle,,late_review remains a closure blocker,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_MORE_INFO_REPLY_WINDOW__OPEN__SETTLED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,triage_human_checkpoint,phase_3_human_checkpoint,case_local,open,settled,Accepted in-window reply is assimilated and the cycle settles.,no,MoreInfoResponseDisposition = accepted_in_window; Evidence assimilation and safety settlement are complete,MoreInfoResponseDisposition; EvidenceAssimilationRecord; SafetyDecisionRecord,EvidenceAssimilationRecord; MoreInfoResponseDisposition,,,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_MORE_INFO_REPLY_WINDOW__LATE_REVIEW__SETTLED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,triage_human_checkpoint,phase_3_human_checkpoint,case_local,late_review,settled,Accepted late review is explicitly assimilated and settled.,no,MoreInfoResponseDisposition = accepted_late_review; Request closure has not yet settled,MoreInfoResponseDisposition; EvidenceAssimilationRecord; SafetyDecisionRecord,EvidenceAssimilationRecord,,,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_MORE_INFO_REPLY_WINDOW__LATE_REVIEW__EXPIRED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,triage_human_checkpoint,phase_3_human_checkpoint,case_local,late_review,expired,Late-review grace elapses without accepted reply assimilation.,no,Checkpoint remains current and unassimilated,MoreInfoReplyWindowCheckpoint(replyWindowState = expired),MoreInfoCycle,,,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_MORE_INFO_REPLY_WINDOW__OPEN__SUPERSEDED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,triage_human_checkpoint,phase_3_human_checkpoint,case_local,open,superseded,A replacement cycle explicitly supersedes the prior one.,no,A newer MoreInfoCycle is current on the lineage,MoreInfoReplyWindowCheckpoint(replyWindowState = superseded); GrantRevocationRecord,MoreInfoCycle; AccessGrant,,,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_MORE_INFO_REPLY_WINDOW__REMINDER_DUE__SUPERSEDED,SM_MORE_INFO_REPLY_WINDOW,MoreInfoReplyWindowCheckpoint.replyWindowState,triage_human_checkpoint,phase_3_human_checkpoint,case_local,reminder_due,superseded,The outstanding loop is replaced by a newer cycle before the patient responds.,no,Replacement cycle is explicitly governed,MoreInfoReplyWindowCheckpoint(replyWindowState = superseded); GrantRevocationRecord,MoreInfoCycle; AccessGrant,,,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_CALLBACK_CASE_STATE__CREATED__QUEUED,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,created,queued,Callback case enters the governed callback queue.,no,LineageCaseLink(caseFamily = callback) exists,CallbackCase; LineageCaseLink,CallbackIntentLease,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__QUEUED__SCHEDULED,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,queued,scheduled,CallbackIntentLease schedules the callback promise window.,no,Current RequestLifecycleLease and CallbackIntentLease fencing still match,CallbackIntentLease; CallbackExpectationEnvelope,CallbackIntentLease; CallbackExpectationEnvelope,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__SCHEDULED__READY_FOR_ATTEMPT,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,scheduled,ready_for_attempt,The current callback window opens and the case is armed for attempt.,no,Expectation window is current; Route and contact posture remain valid,CallbackIntentLease(leaseMode = ready_for_attempt); CallbackExpectationEnvelope,CallbackIntentLease; RouteIntentBinding,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__READY_FOR_ATTEMPT__ATTEMPT_IN_PROGRESS,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,ready_for_attempt,attempt_in_progress,A callback attempt is initiated.,no,Exact attempt fence has not already been used,CallbackAttemptRecord(settlementState = initiated); CommandActionRecord,CallbackAttemptRecord; CommandActionRecord,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__ATTEMPT_IN_PROGRESS__AWAITING_OUTCOME_EVIDENCE,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,attempt_in_progress,awaiting_outcome_evidence,The provider or staff attempt has started but outcome evidence is not yet settled.,no,Attempt fence is still current,CallbackAttemptRecord(settlementState = outcome_pending),CallbackAttemptRecord,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__AWAITING_OUTCOME_EVIDENCE__ANSWERED,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,awaiting_outcome_evidence,answered,Answered outcome evidence lands on the current attempt fence.,no,Outcome bundle is durably stored,CallbackOutcomeEvidenceBundle(outcome = answered),CallbackOutcomeEvidenceBundle,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__AWAITING_OUTCOME_EVIDENCE__NO_ANSWER,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,awaiting_outcome_evidence,no_answer,No-answer evidence settles on the current attempt fence.,no,Outcome bundle is durably stored,CallbackOutcomeEvidenceBundle(outcome = no_answer),CallbackOutcomeEvidenceBundle,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__AWAITING_OUTCOME_EVIDENCE__VOICEMAIL_LEFT,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,awaiting_outcome_evidence,voicemail_left,Voicemail evidence settles on the current attempt fence.,no,Outcome bundle is durably stored,CallbackOutcomeEvidenceBundle(outcome = voicemail_left),CallbackOutcomeEvidenceBundle,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__AWAITING_OUTCOME_EVIDENCE__CONTACT_ROUTE_REPAIR_PENDING,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,awaiting_outcome_evidence,contact_route_repair_pending,Delivery failure or invalid route prevents callback progress.,no,Active callback dependency is unresolved,CallbackOutcomeEvidenceBundle(outcome = route_invalid | provider_failure); ReachabilityDependency,ReachabilityDependency; CallbackExpectationEnvelope,route_repair_required,Reachability repair blocks closure and callback completion,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__NO_ANSWER__AWAITING_RETRY,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,no_answer,awaiting_retry,Resolution gate chooses retry rather than closure.,no,Retry policy still allows another attempt,CallbackResolutionGate(decision = retry),CallbackResolutionGate,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__VOICEMAIL_LEFT__ESCALATION_REVIEW,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,voicemail_left,escalation_review,The current voicemail outcome requires clinician or ops escalation rather than quiet completion.,no,Pathway policy requires escalation,CallbackResolutionGate(decision = escalate),CallbackResolutionGate,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__ANSWERED__COMPLETED,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,answered,completed,Resolution gate marks the callback complete on the evidence-bound attempt.,no,No safety preemption or reachability blocker remains unresolved,CallbackResolutionGate(decision = complete),CallbackResolutionGate; SafetyPreemptionRecord,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__COMPLETED__CLOSED,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,completed,closed,Callback case closes after completion is durably settled.,no,Completion decision is authoritative,CallbackResolutionGate(decision = complete); CallbackCaseClosureRecord,CallbackResolutionGate,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__CLOSED__REOPENED,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,closed,reopened,A new callback obligation or supervised reopen explicitly reopens the case.,no,Reopen policy and lineage scope permit a fresh callback cycle,CallbackReopenRecord,RequestLineage,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CALLBACK_CASE_STATE__REOPENED__QUEUED,SM_CALLBACK_CASE_STATE,CallbackCase.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint; phase_5_network_horizon,case_local,reopened,queued,Reopened callback work returns to the queue.,no,New or refreshed CallbackIntentLease exists,CallbackIntentLease,CallbackIntentLease,,,callback-and-clinician-messaging-loop.md#Callback domain,
SM_CLINICIAN_MESSAGE_THREAD__DRAFTED__APPROVED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,drafted,approved,Approval-required content is approved for dispatch on the current thread version.,no,Current thread version and policy tuple match the draft,ApprovalDecisionRecord; MessageDispatchEnvelope(transportState = approved),MessageDispatchEnvelope; ReviewActionLease,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__APPROVED__SENT,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,approved,sent,Dispatch envelope leaves the draft phase and dispatch begins.,no,Dispatch fence and thread version are current,MessageDispatchEnvelope(transportState = dispatching | provider_accepted),MessageDispatchEnvelope; CommandActionRecord,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__SENT__DELIVERED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,sent,delivered,Current delivery evidence bundle proves delivered posture for the thread.,no,Delivery evidence bundle is accepted through AdapterReceiptCheckpoint,MessageDeliveryEvidenceBundle(deliveryState = delivered),MessageDispatchEnvelope; MessageDeliveryEvidenceBundle,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__DELIVERED__PATIENT_REPLIED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,delivered,patient_replied,Patient reply lands on the current thread and remains under the same lineage.,no,Reply scope and thread version are current,PatientReplyRecord; ThreadExpectationEnvelope(patientVisibleState = awaiting_review),ThreadExpectationEnvelope,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__PATIENT_REPLIED__AWAITING_CLINICIAN_REVIEW,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,patient_replied,awaiting_clinician_review,Reply is classified and routed back for clinician review.,no,Material or contact-safety reply classification is settled,EvidenceAssimilationRecord; ThreadResolutionGate(decision = review_pending),ThreadResolutionGate; SafetyPreemptionRecord,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__AWAITING_CLINICIAN_REVIEW__CLOSED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,awaiting_clinician_review,closed,Resolution gate closes the current message thread.,no,"No reply review, delivery dispute, reachability repair, or safety preemption remains open",ThreadResolutionGate(decision = close),ThreadResolutionGate,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__SENT__DELIVERY_FAILED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,sent,delivery_failed,Delivery evidence bundle shows failure or expiry.,no,Current dispatch fence remains current,MessageDeliveryEvidenceBundle(deliveryState = failed | expired),MessageDeliveryEvidenceBundle,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__DELIVERY_FAILED__CONTACT_ROUTE_REPAIR_PENDING,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,delivery_failed,contact_route_repair_pending,Repair journey opens for the failed delivery dependency.,no,Reachability dependency is active,ThreadResolutionGate(decision = repair_route); ReachabilityDependency,ThreadResolutionGate; ReachabilityDependency,delivery_repair_required,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__CONTACT_ROUTE_REPAIR_PENDING__APPROVED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,contact_route_repair_pending,approved,Controlled resend or channel change is authorized on the current thread.,no,Current repair route and thread version still match,ThreadResolutionGate(decision = repair_route); MessageDispatchEnvelope(repairIntent = controlled_resend | channel_change),ThreadResolutionGate; MessageDispatchEnvelope,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__CLOSED__REOPENED,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,closed,reopened,Resolution gate reopens the thread for further review or callback escalation.,no,Current thread context still matches the investigative question,ThreadResolutionGate(decision = reopen | escalate_to_callback),ThreadResolutionGate; CallbackCase,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_CLINICIAN_MESSAGE_THREAD__REOPENED__AWAITING_CLINICIAN_REVIEW,SM_CLINICIAN_MESSAGE_THREAD,ClinicianMessageThread.state,callback_and_messaging,callback_and_messaging; phase_3_human_checkpoint,case_local,reopened,awaiting_clinician_review,Reopened thread returns to active clinician review posture.,no,Review context and publication tuple are current,ThreadResolutionGate(decision = reopen); ThreadExpectationEnvelope(patientVisibleState = awaiting_review),ThreadResolutionGate,,,callback-and-clinician-messaging-loop.md#Clinician message domain,
SM_BOOKING_CASE_STATUS__HANDOFF_RECEIVED__CAPABILITY_CHECKED,SM_BOOKING_CASE_STATUS,BookingCase.status,booking,phase_4_booking_engine,case_local,handoff_received,capability_checked,Booking capability resolution runs on the current DecisionEpoch and route tuple.,no,LineageCaseLink(caseFamily = booking) is current; DecisionEpoch is unsuperseded,BookingCapabilityResolution; LineageCaseLink,DecisionEpoch; BookingCapabilityResolution,,,"phase-4-the-booking-engine.md#4A Booking contract, case model, and state machine",
SM_BOOKING_CASE_STATUS__CAPABILITY_CHECKED__SEARCHING_LOCAL,SM_BOOKING_CASE_STATUS,BookingCase.status,booking,phase_4_booking_engine,case_local,capability_checked,searching_local,Current capability state allows local search for the active audience.,no,capabilityState = live_self_service | live_staff_assist; capabilityTupleHash still matches route and publication posture,BookingCapabilityResolution; BookingCapabilityProjection,BookingCapabilityResolution; BookingCapabilityProjection,,,"phase-4-the-booking-engine.md#4A Booking contract, case model, and state machine",
